model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,3,3,-0.52,0.27,-1.7,0.66,0.2,0.16
controlled_only,2,2,-0.32,0.12,-1.85,1.2,0.23,0
