study_id,outcome_name,study_label,design_type,N_study,yi,vi,se,ci_lb,ci_ub
1,Reactive Cortisol (AUCi),Blades et al. 2024,controlled,74,-0.36,0.06,0.24,-0.82,0.1
10,Cortisol,Petraskova Touskova et al. 2022,controlled,12,-0.79,0.38,0.62,-1.99,0.42
11,serum cortisol,Reed et al. 2023,single_group,8,-0.2,0.1,0.32,-0.84,0.43
