model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,4,4,-0.3,0.37,-1.48,0.88,0.47,0.48
controlled_only,3,3,0.03,0.2,-0.81,0.88,0.89,0.05
