study_id,study_label,design_type,N_study,yi,vi,se,ci_lb,ci_ub
1,Blades et al. 2024,controlled,78,0.27,0.05,0.23,-0.17,0.72
4,Slezakova et al. 2025,controlled,24,-0.85,0.18,0.43,-1.69,-0.01
