dropped_study,study_label,k_remaining,estimate,se,ci_lb,ci_ub,p_value,tau2,direction,significant
1,Blades et al. 2024,4,-0.34,0.21,-1,0.31,0.19,0.08,negative,FALSE
6,Hinkka et al. 2016,4,-0.35,0.27,-1.19,0.5,0.28,0.16,negative,FALSE
13,Epel et al. 2025,4,-0.23,0.25,-1.03,0.58,0.43,0.16,negative,FALSE
10,Petraskova Touskova et al. 2022,4,-0.1,0.14,-0.53,0.33,0.51,0.02,negative,FALSE
4,Slezakova et al. 2025,4,-0.1,0.15,-0.57,0.36,0.53,0.03,negative,FALSE
