model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,3,3,0.2,0.32,-1.19,1.59,0.6,0.25
controlled_only,2,2,-0.1,0.12,-1.62,1.41,0.54,0
