study_id,study_label,design_type,N_study,yi,vi,se,ci_lb,ci_ub
1,Blades et al. 2024,controlled,78,0.2150524451203273,0.05171372960992907,0.22740652939159217,-0.23066435248719333,0.660769242727848
3,Ketelhut et al. 2023,controlled,41,0.2620628539506095,0.09845657127052004,0.31377790118254034,-0.35294183236716953,0.8770675402683885
5,Faid et al 2022,single_group,29,-1.3353584062142738,0.06345164319933283,0.2518960960382928,-1.8290747544493278,-0.8416420579792199
13,Epel et al. 2025,controlled,70,-0.33057387390807647,0.057970107384450076,0.24076982241229916,-0.8024827258361829,0.14133497802002987
