model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,2,2,-0.24,0.12,-1.76,1.28,0.29,0
controlled_only,2,2,-0.24,0.12,-1.76,1.28,0.29,0
