study_id,study_label,design_type,N_study,yi,vi,se,ci_lb,ci_ub
1,Blades et al. 2024,controlled,78,0.2722394304096169,0.05189236264401575,0.22779895224521063,-0.17424651599099594,0.7187253768102297
4,Slezakova et al. 2025,controlled,24,-0.8512530064588558,0.1829286611864437,0.42770160297390014,-1.6895481482877002,-0.012957864630011584
9,Knill-Jones et al. 2024,single_group,13,0.08910813470752425,0.06844486758649651,0.26161970030274195,-0.42366647788584993,0.6018827473008984
