model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,2,2,-0.17,0.12,-1.64,1.3,0.37,0
controlled_only,1,1,-0.17,0.13,-0.42,0.08,NA,NA
