model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,3,3,-0.35,0.18,-1.13,0.44,0.2,0
controlled_only,2,2,-0.41,0.22,-3.2,2.38,0.31,0
