model,k_effects,n_studies,estimate,se,ci_lb,ci_ub,p_value,tau2_study
main_all_designs,3,3,-0.07,0.3,-1.36,1.22,0.83,0.18
controlled_only,2,2,-0.23,0.56,-7.33,6.87,0.75,0.51
