study_id,outcome_domain,design_type,yi,vi,study_label,design,N_study,study_label_n
6,Sleep,controlled,0.1690310366682648,0.01658795762677097,Hinkka et al 2016,controlled,242,Hinkka et al 2016 (N=242)
9,Sleep,single_group,-0.19373140941804856,0.06958300602203686,Knill-Jones et al. 2024,single_group,13,Knill-Jones et al. 2024 (N=13)
