study_id,outcome_name,study_label,design_type,N_study,yi,vi,se,ci_lb,ci_ub
3,Perceived Pain,Ketelhut et al. 2023,controlled,41,-0.53,0.1,0.32,-1.15,0.1
6,VAS,Hinkka et al 2016,controlled,242,-0.19,0.02,0.13,-0.44,0.06
